iter	Passed	Remaining
0	1	172
1	3	152
2	4	141
3	5	130
4	6	129
5	8	130
6	9	128
7	10	126
8	12	127
9	13	125
10	15	122
11	16	120
12	17	118
13	19	117
14	20	116
15	21	114
16	23	115
17	25	114
18	26	112
19	28	112
20	30	113
21	31	111
22	32	109
23	34	109
24	36	108
25	37	108
26	39	106
27	40	104
28	41	102
29	43	100
30	44	98
31	45	97
32	46	95
33	48	93
34	50	93
35	51	91
36	52	89
37	54	88
38	55	87
39	57	85
40	58	84
41	59	81
42	60	80
43	62	79
44	64	78
45	65	76
46	68	77
47	69	75
48	70	73
49	72	72
50	73	70
51	74	69
52	76	67
53	77	65
54	78	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	87	53
62	88	52
63	89	50
64	91	49
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	98	40
71	99	38
72	101	37
73	102	35
74	103	34
75	104	33
76	106	31
77	107	30
78	108	28
79	110	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	120	16
88	121	15
89	123	13
90	124	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
