iter	Passed	Remaining
0	182	182478
1	184	91950
2	185	61653
3	187	46677
4	189	37662
5	191	31801
6	193	27420
7	194	24118
8	195	21548
9	197	19528
10	198	17842
11	200	16496
12	201	15307
13	203	14306
14	204	13418
15	205	12637
16	206	11948
17	207	11337
18	209	10807
19	210	10311
20	211	9867
21	212	9462
22	214	9098
23	215	8760
24	216	8448
25	217	8161
26	218	7890
27	220	7655
28	221	7423
29	222	7205
30	223	7000
31	225	6810
32	226	6640
33	227	6470
34	228	6310
35	230	6159
36	231	6016
37	232	5892
38	233	5763
39	235	5641
40	236	5524
41	237	5420
42	238	5317
43	240	5216
44	241	5119
45	242	5026
46	243	4938
47	244	4857
48	246	4776
49	247	4698
50	248	4622
51	249	4557
52	251	4488
53	252	4420
54	253	4354
55	254	4292
56	255	4233
57	257	4175
58	258	4118
59	259	4062
60	260	4008
61	261	3956
62	262	3905
63	263	3856
64	264	3809
65	265	3762
66	266	3717
67	268	3674
68	269	3633
69	270	3592
70	271	3551
71	272	3512
72	273	3474
73	274	3440
74	276	3404
75	277	3369
76	278	3335
77	279	3302
78	280	3269
79	281	3238
80	282	3208
81	283	3177
82	284	3143
83	285	3114
84	286	3086
85	288	3061
86	289	3034
87	290	3008
88	291	2982
89	292	2959
90	293	2936
91	295	2911
92	296	2888
93	297	2864
94	298	2841
95	299	2818
96	300	2795
97	301	2773
98	302	2751
99	303	2730
100	304	2709
101	305	2690
102	306	2670
103	307	2650
104	308	2631
105	309	2612
106	310	2593
107	311	2575
108	312	2557
109	313	2539
110	314	2522
111	315	2504
112	316	2487
113	318	2471
114	319	2455
115	320	2439
116	320	2421
117	322	2407
118	323	2391
119	324	2377
120	325	2362
121	326	2346
122	327	2332
123	328	2318
124	329	2304
125	330	2291
126	331	2276
127	332	2263
128	333	2250
129	334	2237
130	335	2224
131	336	2212
132	337	2199
133	338	2187
134	339	2175
135	340	2163
136	341	2151
137	342	2139
138	343	2128
139	344	2116
140	345	2105
141	346	2092
142	347	2081
143	348	2070
144	349	2060
145	350	2050
146	351	2040
147	352	2030
148	353	2020
149	354	2010
150	355	2000
151	356	1990
152	357	1981
153	358	1971
154	359	1961
155	360	1952
156	361	1943
157	363	1934
158	364	1925
159	365	1916
160	365	1905
161	366	1897
162	367	1888
163	368	1880
164	369	1871
165	370	1863
166	371	1855
167	372	1847
168	374	1839
169	375	1831
170	376	1824
171	377	1816
172	378	1808
173	379	1801
174	380	1794
175	381	1786
176	382	1779
177	383	1772
178	384	1765
179	385	1758
180	387	1751
181	388	1744
182	389	1737
183	390	1730
184	391	1725
185	393	1720
186	394	1715
187	395	1708
188	396	1702
189	397	1696
190	399	1690
191	400	1684
192	401	1677
193	402	1671
194	403	1665
195	404	1660
196	406	1654
197	407	1648
198	408	1643
199	409	1637
200	410	1631
201	411	1625
202	412	1619
203	413	1613
204	414	1608
205	415	1602
206	416	1596
207	417	1591
208	419	1585
209	420	1580
210	421	1575
211	422	1569
212	423	1564
213	424	1559
214	425	1554
215	426	1548
216	427	1543
217	428	1538
218	430	1533
219	431	1529
220	432	1524
221	433	1519
222	434	1515
223	436	1511
224	437	1506
225	438	1502
226	439	1497
227	440	1492
228	442	1488
229	443	1484
230	444	1479
231	445	1474
232	446	1469
233	447	1465
234	448	1460
235	449	1455
236	450	1451
237	451	1446
238	452	1441
239	453	1437
240	454	1432
241	456	1428
242	457	1424
243	458	1419
244	459	1415
245	460	1411
246	461	1407
247	462	1402
248	463	1398
249	464	1394
250	465	1389
251	466	1385
252	467	1381
253	469	1377
254	470	1373
255	471	1369
256	472	1365
257	473	1362
258	474	1358
259	475	1354
260	476	1350
261	478	1346
262	479	1343
263	480	1339
264	481	1335
265	482	1331
266	483	1327
267	484	1324
268	485	1320
269	486	1316
270	488	1312
271	489	1309
272	490	1305
273	491	1302
274	492	1298
275	493	1294
276	494	1290
277	495	1287
278	496	1283
279	498	1280
280	499	1277
281	500	1273
282	501	1270
283	502	1266
284	503	1263
285	504	1260
286	505	1256
287	507	1253
288	508	1250
289	509	1246
290	510	1243
291	511	1240
292	512	1236
293	513	1233
294	514	1230
295	515	1226
296	516	1223
297	518	1221
298	519	1218
299	520	1214
300	521	1211
301	522	1208
302	524	1205
303	525	1202
304	526	1199
305	527	1196
306	528	1193
307	529	1190
308	531	1187
309	532	1184
310	533	1181
311	534	1178
312	535	1174
313	536	1171
314	537	1169
315	538	1166
316	539	1162
317	541	1160
318	542	1157
319	543	1154
320	544	1151
321	545	1148
322	546	1145
323	547	1142
324	548	1140
325	550	1137
326	551	1134
327	552	1131
328	553	1129
329	554	1126
330	555	1123
331	556	1120
332	557	1117
333	559	1114
334	560	1112
335	561	1109
336	562	1106
337	563	1103
338	564	1101
339	566	1098
340	567	1096
341	568	1093
342	569	1090
343	570	1088
344	571	1085
345	572	1082
346	573	1080
347	575	1077
348	576	1074
349	578	1073
350	579	1071
351	580	1069
352	582	1066
353	583	1064
354	584	1061
355	585	1059
356	586	1056
357	587	1053
358	589	1052
359	591	1051
360	592	1049
361	593	1046
362	595	1044
363	596	1042
364	597	1040
365	599	1037
366	600	1035
367	601	1032
368	602	1030
369	603	1027
370	604	1025
371	605	1022
372	606	1020
373	607	1017
374	609	1015
375	610	1012
376	611	1010
377	612	1007
378	613	1005
379	614	1002
380	615	1000
381	617	998
382	618	996
383	619	993
384	620	991
385	621	989
386	623	986
387	624	984
388	625	982
389	627	980
390	628	978
391	629	976
392	630	973
393	631	971
394	632	969
395	634	967
396	635	964
397	636	962
398	637	960
399	638	958
400	639	955
401	641	953
402	642	951
403	643	948
404	644	946
405	645	944
406	646	941
407	647	939
408	648	937
409	649	934
410	650	932
411	652	930
412	653	928
413	654	925
414	655	923
415	656	921
416	657	919
417	658	917
418	659	915
419	661	912
420	662	910
421	663	908
422	664	906
423	665	904
424	666	901
425	667	900
426	669	897
427	670	895
428	671	893
429	672	891
430	674	889
431	675	887
432	676	885
433	677	883
434	678	881
435	680	879
436	681	877
437	682	875
438	683	873
439	684	871
440	685	869
441	686	867
442	688	865
443	689	863
444	691	862
445	692	860
446	694	858
447	695	856
448	696	854
449	697	852
450	698	850
451	700	848
452	701	846
453	702	845
454	703	843
455	705	841
456	706	839
457	707	837
458	708	835
459	709	833
460	711	831
461	712	829
462	713	827
463	714	825
464	715	823
465	716	821
466	717	819
467	719	817
468	720	815
469	721	813
470	722	811
471	723	809
472	724	807
473	725	805
474	727	804
475	728	802
476	729	800
477	730	798
478	732	796
479	733	794
480	734	792
481	735	790
482	736	788
483	737	786
484	738	784
485	740	782
486	741	780
487	742	778
488	743	776
489	744	774
490	745	772
491	746	771
492	747	769
493	748	767
494	750	765
495	751	763
496	752	761
497	753	759
498	754	757
499	755	755
500	756	753
501	757	751
502	758	749
503	760	748
504	761	746
505	762	744
506	763	742
507	764	740
508	765	738
509	766	736
510	767	734
511	768	732
512	770	731
513	771	729
514	772	727
515	773	725
516	774	723
517	775	722
518	777	720
519	779	719
520	780	717
521	781	715
522	782	713
523	784	712
524	785	710
525	786	708
526	787	706
527	789	705
528	790	703
529	791	701
530	792	699
531	793	698
532	794	696
533	795	694
534	796	692
535	797	690
536	798	688
537	799	686
538	801	685
539	802	683
540	803	681
541	804	679
542	805	677
543	806	675
544	807	674
545	808	672
546	809	670
547	810	668
548	811	666
549	812	664
550	813	663
551	814	661
552	815	659
553	816	657
554	818	655
555	819	654
556	820	652
557	821	650
558	822	648
559	823	646
560	824	645
561	825	643
562	826	641
563	827	639
564	828	637
565	829	636
566	830	634
567	831	632
568	832	630
569	833	629
570	834	627
571	835	625
572	837	623
573	838	621
574	839	620
575	840	618
576	841	616
577	842	614
578	843	613
579	844	611
580	845	609
581	846	608
582	847	606
583	848	604
584	849	602
585	851	601
586	852	599
587	853	597
588	854	596
589	855	594
590	856	592
591	857	590
592	858	589
593	859	587
594	860	585
595	861	583
596	862	582
597	863	580
598	865	579
599	866	577
600	868	576
601	869	575
602	871	573
603	872	572
604	873	570
605	875	568
606	876	567
607	878	566
608	879	564
609	880	563
610	882	561
611	884	560
612	886	559
613	889	558
614	892	558
615	895	558
616	897	556
617	898	555
618	899	553
619	901	552
620	903	551
621	904	549
622	906	548
623	907	547
624	909	545
625	910	544
626	912	542
627	913	541
628	914	539
629	916	537
630	917	536
631	918	534
632	919	533
633	920	531
634	921	529
635	923	528
636	924	526
637	925	525
638	926	523
639	928	522
640	929	520
641	930	518
642	931	517
643	932	515
644	933	513
645	934	512
646	935	510
647	937	509
648	938	507
649	939	505
650	940	504
651	941	502
652	942	500
653	943	499
654	944	497
655	945	495
656	946	494
657	947	492
658	948	490
659	949	489
660	951	487
661	952	486
662	953	484
663	954	482
664	955	481
665	956	479
666	957	478
667	958	476
668	959	474
669	960	473
670	961	471
671	963	470
672	964	468
673	965	466
674	966	465
675	967	463
676	968	462
677	969	460
678	971	459
679	972	457
680	973	456
681	975	454
682	976	453
683	977	451
684	978	449
685	979	448
686	980	446
687	982	445
688	983	443
689	984	442
690	985	440
691	987	439
692	988	437
693	989	436
694	990	434
695	992	433
696	993	431
697	994	430
698	995	428
699	996	427
700	998	425
701	999	424
702	1000	422
703	1001	421
704	1003	419
705	1004	418
706	1006	416
707	1007	415
708	1010	414
709	1012	413
710	1013	411
711	1014	410
712	1016	409
713	1018	407
714	1019	406
715	1020	404
716	1022	403
717	1023	401
718	1026	401
719	1027	399
720	1030	398
721	1031	397
722	1032	395
723	1035	394
724	1036	393
725	1038	391
726	1040	390
727	1042	389
728	1043	388
729	1045	386
730	1046	385
731	1048	383
732	1049	382
733	1050	380
734	1051	379
735	1052	377
736	1054	376
737	1055	374
738	1057	373
739	1058	371
740	1059	370
741	1060	368
742	1062	367
743	1063	365
744	1064	364
745	1065	362
746	1067	361
747	1068	359
748	1070	358
749	1071	357
750	1073	355
751	1074	354
752	1075	352
753	1076	351
754	1078	349
755	1080	348
756	1081	347
757	1082	345
758	1084	344
759	1085	342
760	1086	341
761	1087	339
762	1089	338
763	1090	336
764	1091	335
765	1093	333
766	1094	332
767	1095	330
768	1096	329
769	1097	327
770	1099	326
771	1100	324
772	1101	323
773	1102	322
774	1104	320
775	1105	319
776	1106	317
777	1107	316
778	1109	314
779	1110	313
780	1111	311
781	1112	310
782	1113	308
783	1115	307
784	1116	305
785	1117	304
786	1119	302
787	1120	301
788	1121	299
789	1122	298
790	1124	297
791	1125	295
792	1126	294
793	1127	292
794	1128	291
795	1129	289
796	1130	288
797	1131	286
798	1133	285
799	1134	283
800	1135	282
801	1136	280
802	1137	279
803	1139	277
804	1141	276
805	1142	275
806	1143	273
807	1145	272
808	1146	270
809	1148	269
810	1149	267
811	1150	266
812	1151	264
813	1153	263
814	1154	262
815	1155	260
816	1156	259
817	1157	257
818	1158	256
819	1160	254
820	1161	253
821	1162	251
822	1163	250
823	1164	248
824	1166	247
825	1167	245
826	1168	244
827	1169	242
828	1170	241
829	1171	239
830	1172	238
831	1173	237
832	1175	235
833	1176	234
834	1177	232
835	1178	231
836	1179	229
837	1180	228
838	1181	226
839	1183	225
840	1184	223
841	1185	222
842	1186	220
843	1187	219
844	1188	218
845	1190	216
846	1191	215
847	1192	213
848	1193	212
849	1194	210
850	1196	209
851	1197	208
852	1198	206
853	1199	205
854	1200	203
855	1202	202
856	1203	200
857	1204	199
858	1205	197
859	1206	196
860	1208	195
861	1209	193
862	1210	192
863	1211	190
864	1213	189
865	1214	187
866	1215	186
867	1216	185
868	1217	183
869	1219	182
870	1220	180
871	1221	179
872	1222	177
873	1223	176
874	1225	175
875	1226	173
876	1228	172
877	1229	170
878	1230	169
879	1231	167
880	1232	166
881	1234	165
882	1235	163
883	1236	162
884	1237	160
885	1238	159
886	1239	157
887	1241	156
888	1242	155
889	1243	153
890	1244	152
891	1245	150
892	1247	149
893	1248	147
894	1249	146
895	1250	145
896	1251	143
897	1252	142
898	1253	140
899	1254	139
900	1255	137
901	1256	136
902	1258	135
903	1259	133
904	1260	132
905	1261	130
906	1262	129
907	1263	128
908	1264	126
909	1265	125
910	1266	123
911	1268	122
912	1269	120
913	1271	119
914	1272	118
915	1273	116
916	1274	115
917	1276	113
918	1277	112
919	1278	111
920	1279	109
921	1280	108
922	1282	106
923	1283	105
924	1284	104
925	1285	102
926	1286	101
927	1287	99
928	1288	98
929	1290	97
930	1291	95
931	1292	94
932	1293	92
933	1295	91
934	1296	90
935	1297	88
936	1298	87
937	1299	85
938	1300	84
939	1302	83
940	1303	81
941	1304	80
942	1306	78
943	1308	77
944	1310	76
945	1311	74
946	1314	73
947	1315	72
948	1317	70
949	1318	69
950	1320	68
951	1321	66
952	1323	65
953	1324	63
954	1325	62
955	1326	61
956	1327	59
957	1329	58
958	1330	56
959	1331	55
960	1332	54
961	1335	52
962	1336	51
963	1338	49
964	1339	48
965	1340	47
966	1343	45
967	1344	44
968	1346	43
969	1347	41
970	1348	40
971	1350	38
972	1351	37
973	1352	36
974	1353	34
975	1355	33
976	1357	31
977	1358	30
978	1359	29
979	1361	27
980	1363	26
981	1364	25
982	1365	23
983	1366	22
984	1368	20
985	1369	19
986	1370	18
987	1372	16
988	1373	15
989	1374	13
990	1376	12
991	1377	11
992	1378	9
993	1380	8
994	1381	6
995	1383	5
996	1384	4
997	1385	2
998	1387	1
999	1388	0
